代码,现价,涨跌幅,涨停,成交额,换手率,振幅,最高,最低,今开,昨收,量比,近5日涨幅,近5日最高,近20日最高,近10日最高,近150日最高,涨停价,近10日涨停,前日涨停,首板涨停,连板天数,一字板涨停
000155,12.96,-1.74,0,351787710.6666667,0.0,3.64,13.33,12.85,13.06,13.19,1.0,-7.43,14.08,16.52,14.65,19.34,14.51,0,0,0,0,0
000060,6.95,-2.93,0,1289375431.6666667,0.0,4.19,7.15,6.85,7.03,7.16,1.0,-14.93,8.44,8.44,8.44,9.22,7.88,0,0,0,0,0
000070,18.21,-6.76,0,1795604390.666667,0.0,8.5,19.36,17.7,19.22,19.53,1.0,0.83,20.38,22.0,20.38,22.5,21.48,0,0,0,0,0
000021,38.34,2.73,0,5477388933.333334,0.0,8.15,39.1,36.06,36.48,37.32,1.0,0.68,40.13,46.81,46.81,46.81,41.05,0,0,0,0,0
000027,7.16,-1.51,0,352559601.3333334,0.0,3.58,7.37,7.11,7.19,7.27,1.0,-10.05,8.03,8.45,8.45,8.48,8.0,0,0,0,0,0
000066,16.14,-0.37,0,3182429249.9999995,0.0,7.28,17.09,15.91,16.12,16.2,1.0,-10.53,18.65,25.61,19.77,25.74,17.82,0,0,0,0,0
000301,11.72,0.34,0,161083828.66666666,0.0,2.57,11.8,11.5,11.54,11.68,1.0,-1.35,12.19,13.47,12.46,14.7,12.85,0,0,0,0,0
000009,7.01,-0.28,0,115233184.00000001,0.0,2.28,7.09,6.93,6.99,7.03,1.0,-2.77,7.35,8.45,7.68,11.9,7.73,0,0,0,0,0
000426,35.41,-1.99,0,2003546974.9999995,0.0,4.59,35.88,34.22,34.62,36.13,1.0,-15.85,43.15,52.07,43.58,74.8,39.74,0,0,0,0,0
000510,16.01,-4.7,0,705428370.6666667,0.0,8.51,17.05,15.62,16.42,16.8,1.0,-16.53,20.08,20.08,20.08,23.5,18.48,1,0,0,0,0
000533,10.7,-3.43,0,277781459.0,0.0,3.88,10.96,10.53,10.96,11.08,1.0,-9.48,12.17,15.35,12.69,21.84,12.19,1,0,0,0,0
