代码,现价,涨跌幅,涨停,成交额,换手率,振幅,最高,最低,今开,昨收,量比,近5日涨幅,近20日最高,近10日最高,近150日最高,涨停价,近10日涨停,前日涨停,首板涨停,连板天数,一字板涨停
000070,18.81,10.0,1,2201984966.666667,0.0,10.12,18.81,17.08,17.08,17.1,1.0,1.9,20.64,20.38,22.5,18.81,0,0,1,1,0
000027,7.29,1.25,0,309021299.99999994,0.0,2.64,7.31,7.12,7.18,7.2,1.0,2.97,8.45,8.24,8.48,7.92,0,0,0,0,0
000009,6.97,-1.27,0,257659973.99999997,0.0,2.69,7.14,6.95,7.11,7.06,1.0,0.29,8.03,7.54,11.9,7.77,0,0,0,0,0
000063,37.22,2.39,0,6385706381.333333,0.0,4.95,37.5,35.7,36.51,36.35,1.0,1.11,41.3,41.3,47.77,39.99,0,0,0,0,0
000032,20.81,9.99,1,2022010644.3333335,0.0,10.89,20.81,18.75,19.2,18.92,1.0,37.81,21.32,18.92,24.16,20.81,1,1,0,3,0
000021,39.47,6.42,0,5109416606.0,0.0,8.2,39.5,36.46,37.88,37.09,1.0,4.12,46.81,43.63,46.81,40.8,0,0,0,0,0
000060,7.92,4.76,0,2548636735.0,0.0,3.31,7.94,7.69,7.8,7.56,1.0,13.96,8.44,8.44,9.22,8.32,0,0,0,0,0
000155,13.45,0.67,0,485464720.0,0.0,2.84,13.69,13.31,13.48,13.36,1.0,4.02,16.25,14.65,19.34,14.7,0,0,0,0,0
000301,12.76,7.41,0,488312318.0,0.0,8.5,12.91,11.9,11.9,11.88,1.0,11.64,12.94,12.46,14.7,13.07,0,0,0,0,0
000066,16.19,4.38,0,1900647282.6666667,0.0,2.84,16.19,15.75,15.75,15.51,1.0,2.15,22.4,19.39,25.74,17.06,0,0,0,0,0
000333,80.93,-2.76,0,3527048122.0000005,0.0,2.98,82.98,80.5,82.95,83.23,1.0,-2.32,85.9,85.9,85.9,91.55,0,0,0,0,0
000426,40.26,9.34,0,3896041258.9999995,0.0,5.62,40.45,38.38,39.0,36.82,1.0,14.83,43.94,43.15,74.8,40.5,0,0,0,0,0
000510,21.31,10.02,1,350847675.6666667,0.0,0.21,21.31,21.27,21.3,19.37,1.0,27.0,20.08,20.08,23.5,21.31,1,1,0,3,1
000338,29.38,4.93,0,3600410151.0,0.0,4.18,29.38,28.21,28.56,28.0,1.0,-2.0,36.34,35.7,36.34,30.8,0,0,0,0,0
000408,81.86,3.01,0,1930231984.0,0.0,4.53,83.6,80.0,81.99,79.47,1.0,12.06,84.59,81.2,95.78,87.42,0,0,0,0,0
000551,15.72,5.57,0,365574148.3333333,0.0,6.78,15.72,14.71,14.99,14.89,1.0,8.79,18.05,15.8,18.35,16.38,0,0,0,0,0
000570,5.22,0.38,0,58671755.99999999,0.0,3.46,5.34,5.16,5.24,5.2,1.0,-2.43,6.56,5.72,6.93,5.72,0,0,0,0,0
000539,7.53,2.59,0,889809727.9999999,0.0,4.77,7.55,7.2,7.3,7.34,1.0,-3.21,9.82,9.82,9.82,8.07,1,0,0,0,0
000534,30.52,0.33,0,598424207.9999999,0.0,4.44,31.06,29.71,30.31,30.42,1.0,-2.68,39.22,34.26,49.14,33.46,0,0,0,0,0
000636,65.03,10.0,1,9145167932.0,0.0,7.32,65.03,60.7,61.5,59.12,1.0,17.11,66.5,66.5,66.5,65.03,1,0,1,1,0
000603,30.79,5.55,0,906524803.3333331,0.0,4.7,31.14,29.77,30.48,29.17,1.0,4.06,36.76,33.14,73.47,32.09,0,0,0,0,0
000657,86.9,10.0,1,10159424352.0,0.0,11.28,86.9,77.99,80.8,79.0,1.0,27.94,84.32,84.32,84.32,86.9,0,0,1,1,0
000547,19.92,-3.54,0,3165483046.3333335,0.0,3.34,19.99,19.3,19.99,20.65,1.0,-0.75,26.11,21.49,40.65,22.71,1,1,0,0,0
000630,7.66,7.89,0,9408587813.333334,0.0,6.2,7.71,7.27,7.3,7.1,1.0,18.94,7.25,7.25,9.14,7.81,1,1,0,0,0
000533,11.09,3.74,0,271100126.6666667,0.0,3.37,11.14,10.78,10.78,10.69,1.0,2.21,14.35,12.69,21.84,11.76,1,0,0,0,0
000678,9.87,0.92,0,115258466.66666667,0.0,2.76,9.95,9.68,9.8,9.78,1.0,-14.02,13.4,12.24,16.74,10.76,0,0,0,0,0
