排名,板块,一级标签,细分,得分,平均分,最高分,平均涨停,涨停数,平均成交额,一涨停,二涨停,三涨停,四涨停,最强股,最强股得分,前三强
1,半导体,1-重点关注,芯片封装测试,1,31,31,10.03,1,0.01,0,1,0,0,旗滨集团,31,1.旗滨集团(601636)-31分
2,半导体,1-重点关注,封装材料,1,25,25,13.44,1,0,0,1,0,0,泰晶科技,25,1.泰晶科技(301188)-25分
3,PCB,1-重点关注,覆铜板,1,25,25,16.42,1,0.02,0,1,0,0,诺德股份,25,1.诺德股份(300285)-25分
4,半导体,1-重点关注,TSV,1,25,25,13.44,1,0,0,1,0,0,泰晶科技,25,1.泰晶科技(301188)-25分
5,电池,1-重点关注,锂电池,1,22,22,8.04,1,0.03,0,1,0,0,中材科技,22,1.中材科技(002080)-22分
6,光通信/CPO,1-重点关注,光模块,1,22,22,8.04,1,0.03,0,1,0,0,泰晶科技,22,1.泰晶科技(603738)-22分
7,半导体,1-重点关注,芯片封装测试,1,21,21,8.04,1,0.03,0,1,0,0,旗滨集团,21,1.旗滨集团(601636)-21分
8,半导体,1-重点关注,芯片封装测试,1,20,20,8.04,1,0.03,0,1,0,0,芯原股份,20,1.芯原股份(688549)-20分
9,电池,1-重点关注,电池材料,1,20,20,8.04,1,0.03,0,1,0,0,中材科技,20,1.中材科技(002080)-20分
10,PCB,1-重点关注,铜箔,1,18,18,8.04,1,0.03,0,1,0,0,诺德股份,18,1.诺德股份(600110)-18分
